name,recipe,base_ingredient,diet,preparation_method,taste,time_of_taking,cuisine_followed,region,protein_rich_indicator,nutritional_benefits,,,,,
Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",Methi (Fenugreek leaves),vegetarian,Fried,bitter,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Mihidana,"Besan flour, sugar, ghee",Gram flour,vegetarian,Fried,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Mishti Chholar Dal,"Chana dal, fresh coconut, ginger, cinnamon, raisins",Chana dal,vegetarian,Curry,sweet,Dinner,Bengali,North Indian,Rich in Protein,High Fiber,,,,,
Misi roti,"Whole wheat flour, chickpea flour, green chilies",Flour,vegetarian,Roasted,spicy,Anytime,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Misti doi,"Milk, jaggery",Milk,vegetarian,Baked,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Modak,"Rice flour, coconut, jaggery ",Rice flour,vegetarian,Boiled (or Steamed),sweet,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron",Gram flour,vegetarian,Baked,sweet,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",Mushrooms,vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Rich in Protein,High Fiber,,,,,
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",Mushrooms,vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Rich in Protein,High Fiber,,,,,
Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",Gram flour,vegetarian,Fried,bitter,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",Gram flour,vegetarian,Baked,sweet,Anytime,Karnataka,South Indian,Not Rich in Protein,High Fiber,,,,,
Naan,"Whole wheat flour, honey, butter, garlic",Flour,vegetarian,Baked,-1,Anytime,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Namakpara,"Wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",Wheat flour,vegetarian,Fried,spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",Flour,vegetarian,Baked,sweet,Anytime,-1,-1,Not Rich in Protein,High Fiber,,,,,
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",Mixed vegetables,vegetarian,Curry,spicy,Dinner,Uttar Pradesh,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",Flour,vegetarian,Baked,sweet,Anytime,Karnataka,South Indian,Not Rich in Protein,High Fiber,,,,,
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",Yogurt,vegetarian,Curry,-1,Lunch,-1,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Pakhala,"Curd, cooked rice, curry leaves, dry chilli",Rice,vegetarian,Boiled (or Steamed),-1,Lunch,Odisha,North Indian,Rich in Protein,High Fiber,,,,,
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",Spinach,vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Palathalikalu,"Rice flour, milk",Rice flour,vegetarian,Boiled (or Steamed),sweet,Anytime,Hyderabadi,South Indian,Rich in Protein,High Fiber,,,,,
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",Paneer,vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Rich in Protein,High Fat,,,,,
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",Paneer,vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Not Rich in Protein,High Fat,,,,,
Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",Rice flour,vegetarian,Boiled (or Steamed),-1,Anytime,Assam,North Indian,Not Rich in Protein,High Fiber,,,,,
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",Semolina,vegetarian,Fried,spicy,Evening,-1,-1,Not Rich in Protein,High Fiber,,,,,
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli","Lentil, rice batter",vegetarian,Fried,-1,Anytime,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",Semolina,vegetarian,Baked,sweet,Anytime,Uttar Pradesh,,Not Rich in Protein,High Fiber,,,,,
Pantua,"Chhena, sugar, ghee, flour",Cottage cheese (Chhena),vegetarian,Fried,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",Lentil flour,vegetarian,Fried,spicy,Anytime,-1,-1,Not Rich in Protein,High Fiber,,,,,
Papadum,"Lentils, black pepper, vegetable oil",Lentil flour,vegetarian,Fried,spicy,Anytime,Kerala,South Indian,Not Rich in Protein,High Fiber,,,,,
Paratha,"Wheat flour, butter, potato, coriander",Wheat flour,vegetarian,Roasted,spicy,Anytime,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Paravannam,"Raw rice,  jaggery, milk",Rice,vegetarian,Boiled (or Steamed),spicy,Anytime,Kerala,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds","Lentils, rice",vegetarian,Boiled (or Steamed),-1,Lunch,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Patra,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",Colocasia leaves,vegetarian,Boiled (or Steamed),spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",Gram flour,vegetarian,Boiled (or Steamed),spicy,Anytime,Rajasthan,North Indian,Not Rich in Protein,High Fiber,,,,,
Pav Bhaji,"Pav bhaji masala, gobi, potatoes, green peas, dinner rolls",Mixed vegetables,vegetarian,Curry,spicy,Anytime,Maharashtrian,North Indian,Rich in Protein,High Fiber,,,,,
Payasam,"Rice, cashew nuts, milk, raisins, sugar",Milk,vegetarian,Curry,sweet,Anytime,-1,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",Milk,vegetarian,Boiled (or Steamed),sweet,Anytime,Assam,North Indian,Not Rich in Protein,High Fiber,,,,,
Pesarattu,"Green moong beans, rice flour",Green gram (Moong dal),vegetarian,Fried,spicy,Breakfast,Hyderabadi,South Indian,Not Rich in Protein,High Fiber,,,,,
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",Ash gourd (Winter melon),vegetarian,Fried,sweet,Anytime,Uttar Pradesh,North Indian,Not Rich in Protein,High Fiber,,,,,
Phirni,"Rice, sugar, nuts",Rice,vegetarian,Boiled (or Steamed),sweet,Anytime,Odisha,North Indian,Not Rich in Protein,Calcium-Rich,,,,,
Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",Jaggery,vegetarian,Boiled (or Steamed),sweet,Anytime,Goan,North Indian,Not Rich in Protein,High Fiber,,,,,
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",Chickpeas,vegetarian,Baked,spicy,Anytime,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Pithe,"Rice flour, wheat flour",Rice flour,vegetarian,Curry,sweet,Anytime,Assam,North Indian,Not Rich in Protein,High Fiber,,,,,
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",Flattened rice,vegetarian,Boiled (or Steamed),spicy,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Pongal,"Rice, jaggery, cashews, ghee","Rice, lentils",vegetarian,Boiled (or Steamed),sweet,Anytime,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Poori,,Wheat flour,vegetarian,Fried,-1,Dinner,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Poornalu,"Chana dal, jaggery",Jaggery,vegetarian,Boiled (or Steamed),sweet,Anytime,Hyderabadi,South Indian,Not Rich in Protein,High Fiber,,,,,
Pootharekulu,"Rice flour, powdered sugar, ghee",Rice flour,vegetarian,Fried,sweet,Anytime,Hyderabadi,South Indian,Not Rich in Protein,High Fiber,,,,,
Poriyal,"Chana dal, urad dal, beans, coconut, mustard",Mixed vegetables,vegetarian,Baked,spicy,Dinner,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",Pork,non vegetarian,Fried,spicy,Dinner,Tripura,North Indian,Not Rich in Protein,Diabetic Friendly,,,,,
Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",Prawns,non vegetarian,Curry,spicy,Dinner,Bengali,North Indian,Not Rich in Protein,Diabetic Friendly,,,,,
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",rice,vegetarian,Curry,-1,Lunch,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Puri Bhaji,"Aloo, urad dal, mustard, ginger, curry leaves",Potato,vegetarian,Curry,spicy,Breakfast,Maharashtrian,North Indian,Rich in Protein,High Fiber,,,,,
Puttu,"Brown rice flour, sugar, grated coconut",Rice flour,vegetarian,Fried,-1,Breakfast,Kerala,South Indian,Rich in Protein,High Fiber,,,,,
Qubani ka meetha,"Apricots, sugar syrup",sugar,vegetarian,Boiled (or Steamed),sweet,Anytime,Hyderabadi,South Indian,Not Rich in Protein,High Fiber,,,,,
Rabri,"Condensed milk, sugar, spices, nuts",milk,vegetarian,Baked,sweet,Anytime,Uttar Pradesh,North Indian,Not Rich in Protein,High Fiber,,,,,
Ragi Dosa,,Ragi,vegetarian,Spread,spicy,Dinner,Tamil,South Indian,Rich in Protein,High Fiber,,,,,
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",Red kidney beans,vegetarian,Boiled (or Steamed),spicy,Lunch,-1,North Indian,Not Rich in Protein,High Fat,,,,,
Ras malai,"Chhena, reduced milk, pistachio",milk,vegetarian,Curry,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Rasabali,"Chenna, sweetened milk",milk,vegetarian,Boiled (or Steamed),sweet,Anytime,Odisha,North Indian,Not Rich in Protein,High Fat,,,,,
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",tamarind,vegetarian,Curry,spicy,Lunch,-1,South Indian,Not Rich in Protein,High Fat,,,,,
Rasgulla,"Chhena, sugar, cardamom",milk,vegetarian,Boiled (or Steamed),sweet,Anytime,Bengali,North Indian,Rich in Protein,Vitamins and Minerals,,,,,
Red Rice,"Red pepper, red onion, butter, watercress, olive oil",rice,vegetarian,Boiled (or Steamed),-1,Anytime,-1,-1,Not Rich in Protein,High Fat,,,,,
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",tomato,vegetarian,Curry,-1,Anytime,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Saath,"Urad dal, potatoes, wheat flour, sooji",Potato,vegetarian,Curry,spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Sabudana Khichadi,"Raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",sabudana,vegetarian,Fried,spicy,Breakfast,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind", dal,vegetarian,Curry,spicy,Lunch,-1,South Indian,Rich in Protein,High Fiber,,,,,
Samosa,"Potatoes, green peas, garam masala, ginger, dough",Potato,vegetarian,Fried,spicy,Anytime,-1,-1,Not Rich in Protein,High Fiber,,,,,
Sandesh,"Milk, sugar, saffron, cardamom",milk,vegetarian,Baked,sweet,Anytime,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",rice,vegetarian,Fried,-1,Anytime,Karnataka,South Indian,Not Rich in Protein,High Fiber,,,,,
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",Wheat flour,vegetarian,Roasted,spicy,Anytime,Bihar,North Indian,Not Rich in Protein,High Fiber,,,,,
Sev khamani,"Khaman, pomegranate, sev, powdered sugar, garlic",Semolina,vegetarian,Curry,spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Sev tameta,"Sev, ginger, tomato, sugar",Semolina,vegetarian,Curry,spicy,Dinner,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Sevai,"Sevai, parboiled rice, steamer",rice,vegetarian,Boiled (or Steamed),-1,Dinner,-1,South Indian,Not Rich in Protein,High Fiber,,,,,
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",Paneer,vegetarian,Curry,spicy,Anytime,Punjabi,North Indian,Rich in Protein,High Fat,,,,,
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",milk,vegetarian,Fried,sweet,Dinner,Hyderabadi,South Indian,Not Rich in Protein,High Fat,,,,,
Shankarpali,"Sugar, ghee, maida flour, semolina",Maida,vegetarian,Fried,sweet,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fat,,,,,
Sheer korma,"Vermicelli pudding, milk",milk,vegetarian,Baked,sweet,Anytime,Hyderabadi,South Indian,Not Rich in Protein,High Fiber,,,,,
Sheera,"Semolina, ghee, nuts, milk",milk,vegetarian,Baked,sweet,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Shrikhand,"Curd, sugar, saffron, cardamom",curd,vegetarian,Baked,sweet,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Shufta,"Cottage cheese, dry dates, dried rose petals, pistachio, badam",cheese,vegetarian,Baked,sweet,Anytime,Jammu & Kashmir,North Indian,Not Rich in Protein,Diabetic Friendly,,,,,
Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",Vegetables,vegetarian,Curry,spicy,Anytime,Bengali,North Indian,Not Rich in Protein,High Fiber,,,,,
Singori,"Khoa, coconut, molu leaf",coconut,vegetarian,Baked,sweet,Dinner,Uttarakhand,North Indian,Not Rich in Protein,High Fiber,,,,,
Sohan halwa,"Corn flour, ghee, dry fruits",Corn flour,vegetarian,Baked,sweet,Anytime,Uttar Pradesh,North Indian,Not Rich in Protein,High Fiber,,,,,
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",Gram flour,vegetarian,Baked,sweet,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Sukhdi,"Whole wheat flour, gur, clarified butter",Wheat flour,vegetarian,Baked,sweet,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Surnoli,"Rice flakes, yogurt, raw rice, jaggery, grated coconut",rice,vegetarian,Fried,spicy,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Sutar feni,"Maida, sugar, ghee",maida,vegetarian,Baked,sweet,Breakfast,Maharashtrian,North Indian,Not Rich in Protein,High Fat,,,,,s
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",chicken,non vegetarian,Roasted,spicy,Anytime,Punjabi,North Indian,Rich in Protein,Diabetic Friendly,,,,,
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",fish,non vegetarian,Roasted,spicy,Dinner,Punjabi,North Indian,Rich in Protein,Diabetic Friendly,,,,,
Thalipeeth,"Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds",Wheat flour,vegetarian,Roasted,spicy,Dinner,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",rice,vegetarian,Boiled (or Steamed),-1,Lunch,Tamil,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",coconut,vegetarian,Curry,-1,Lunch,Kerala,South Indian,Not Rich in Protein,Vitamins and Minerals,,,,,
Thepla,"Chickpea flour, methi leaves, jowar flour, wheat flour",Wheat flour,vegetarian,Curry,spicy,Anytime,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Til Pitha,"Glutinous rice, black sesame seeds, gur",rice,vegetarian,Fried,sweet,Anytime,Assam,North Indian,Not Rich in Protein,High Fiber,,,,,
Turiya Patra Vatana sabji,"Ridge gourd, baking soda, sugar, grated coconut, peas",coconut,vegetarian,Curry,spicy,Dinner,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Undhiyu,"Sweet potato, surti papdi, baby potatoes, valor papdi, green peas",Potato,vegetarian,Curry,spicy,Dinner,Gujarathi,North Indian,Not Rich in Protein,High Fiber,,,,,
Unni Appam,"Rice flour, banana, jaggery, coconut",coconut,vegetarian,Fried,sweet,Anytime,Tamil,South Indian,Not Rich in Protein,High Fiber,,,,,
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",Urad dal,vegetarian,Boiled (or Steamed),spicy,Breakfast,-1,-1,Not Rich in Protein,High Fiber,,,,,
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",Urad dal,vegetarian,Roasted,spicy,Anytime,-1,South Indian,Not Rich in Protein,High Fiber,,,,,
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",Urad dal,vegetarian,Fried,spicy,Anytime,-1,South Indian,Not Rich in Protein,High Fiber,,,,,
Veg Kolhapuri,"Gobi, potato, beans, khus khus, coconut",cauliflower,vegetarian,Curry,spicy,Anytime,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",Vegetables,vegetarian,Curry,spicy,Dinner,Punjabi,North Indian,Not Rich in Protein,High Fiber,,,,,
Vindaloo,"Chicken, coconut oil, wine vinegar, ginger, green, cinnamon",chicken,non vegetarian,Curry,spicy,Dinner,Goan,North Indian,Rich in Protein,Diabetic Friendly,,,,,
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",Gram flour,vegetarian,Curry,spicy,Dinner,Maharashtrian,North Indian,Not Rich in Protein,High Fiber,,,,,
